person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,evaluation_text,label
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,借款人年龄23岁，收入为113000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约8.0年，这反映出其工作稳定性欠佳。贷款意图为DEBTCONSOLIDATION，然而其信用等级仅为D，这充分表明信用状况不容乐观。申请贷款金额35000元，贷款利率较高，贷款占收入的百分比达31.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为4年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,借款人年龄24岁，收入为10800元，这样的收入水平相对有限。住房情况是MORTGAGE，稳定性一般。就业时长约8.0年，这反映出其工作稳定性欠佳。贷款意图为EDUCATION，然而其信用等级仅为B，这充分表明信用状况不容乐观。申请贷款金额1750元，贷款利率较高，贷款占收入的百分比达16.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为2年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,借款人年龄为25岁，展现出与其年龄相称的成熟与稳重。其年收入达162500元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于RENT状态，这体现出其生活具备较高的安定性。就业时长约2.0年，足以证明其工作稳定性较强。此次贷款意图为VENTURE，从过往信用记录来看，信用等级被评定为A，这清晰地表明其信用表现良好。贷款金额为35000元，贷款利率处于合理范畴，贷款占收入的百分比为22.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有4年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,借款人年龄为25岁，展现出与其年龄相称的成熟与稳重。其年收入达137000元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于RENT状态，这体现出其生活具备较高的安定性。就业时长约9.0年，足以证明其工作稳定性较强。此次贷款意图为PERSONAL，从过往信用记录来看，信用等级被评定为E，这清晰地表明其信用表现良好。贷款金额为34800元，贷款利率处于合理范畴，贷款占收入的百分比为25.00%，还款压力相对较小。借款人无违约记录（Y），且信用历史长度已有2年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,借款人年龄22岁，收入为65000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约4.0年，这反映出其工作稳定性欠佳。贷款意图为EDUCATION，然而其信用等级仅为D，这充分表明信用状况不容乐观。申请贷款金额34000元，贷款利率较高，贷款占收入的百分比达52.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为4年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,借款人年龄为24岁，展现出与其年龄相称的成熟与稳重。其年收入达10980元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于OWN状态，这体现出其生活具备较高的安定性。就业时长约0.0年，足以证明其工作稳定性较强。此次贷款意图为PERSONAL，从过往信用记录来看，信用等级被评定为A，这清晰地表明其信用表现良好。贷款金额为1500元，贷款利率处于合理范畴，贷款占收入的百分比为14.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有3年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,借款人年龄22岁，收入为80000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约3.0年，这反映出其工作稳定性欠佳。贷款意图为PERSONAL，然而其信用等级仅为D，这充分表明信用状况不容乐观。申请贷款金额33950元，贷款利率较高，贷款占收入的百分比达42.00%，还款压力较大。借款人曾有违约记录（Y），且信用历史长度为4年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,1
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,借款人年龄24岁，收入为67746元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约8.0年，这反映出其工作稳定性欠佳。贷款意图为HOMEIMPROVEMENT，然而其信用等级仅为C，这充分表明信用状况不容乐观。申请贷款金额33000元，贷款利率较高，贷款占收入的百分比达49.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为3年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,借款人年龄21岁，收入为11000元，这样的收入水平相对有限。住房情况是MORTGAGE，稳定性一般。就业时长约3.0年，这反映出其工作稳定性欠佳。贷款意图为VENTURE，然而其信用等级仅为E，这充分表明信用状况不容乐观。申请贷款金额4575元，贷款利率较高，贷款占收入的百分比达42.00%，还款压力较大。借款人曾有违约记录（Y），且信用历史长度为3年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,借款人年龄为23岁，展现出与其年龄相称的成熟与稳重。其年收入达11000元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于OWN状态，这体现出其生活具备较高的安定性。就业时长约0.0年，足以证明其工作稳定性较强。此次贷款意图为PERSONAL，从过往信用记录来看，信用等级被评定为A，这清晰地表明其信用表现良好。贷款金额为1400元，贷款利率处于合理范畴，贷款占收入的百分比为13.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有3年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,借款人年龄24岁，收入为65000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约6.0年，这反映出其工作稳定性欠佳。贷款意图为HOMEIMPROVEMENT，然而其信用等级仅为B，这充分表明信用状况不容乐观。申请贷款金额32500元，贷款利率较高，贷款占收入的百分比达50.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为3年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,借款人年龄21岁，收入为11389元，这样的收入水平相对有限。住房情况是OTHER，稳定性一般。就业时长约5.0年，这反映出其工作稳定性欠佳。贷款意图为EDUCATION，然而其信用等级仅为C，这充分表明信用状况不容乐观。申请贷款金额4000元，贷款利率较高，贷款占收入的百分比达35.00%，还款压力较大。借款人曾有违约记录（Y），且信用历史长度为2年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,借款人年龄21岁，收入为11520元，这样的收入水平相对有限。住房情况是OWN，稳定性一般。就业时长约5.0年，这反映出其工作稳定性欠佳。贷款意图为MEDICAL，然而其信用等级仅为B，这充分表明信用状况不容乐观。申请贷款金额2000元，贷款利率较高，贷款占收入的百分比达17.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为3年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,借款人年龄为25岁，展现出与其年龄相称的成熟与稳重。其年收入达120000元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于RENT状态，这体现出其生活具备较高的安定性。就业时长约2.0年，足以证明其工作稳定性较强。此次贷款意图为VENTURE，从过往信用记录来看，信用等级被评定为A，这清晰地表明其信用表现良好。贷款金额为32000元，贷款利率处于合理范畴，贷款占收入的百分比为27.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有2年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,借款人年龄26岁，收入为95000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约7.0年，这反映出其工作稳定性欠佳。贷款意图为HOMEIMPROVEMENT，然而其信用等级仅为C，这充分表明信用状况不容乐观。申请贷款金额31050元，贷款利率较高，贷款占收入的百分比达33.00%，还款压力较大。借款人曾有违约记录（Y），且信用历史长度为3年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,借款人年龄为25岁，展现出与其年龄相称的成熟与稳重。其年收入达306000元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于RENT状态，这体现出其生活具备较高的安定性。就业时长约2.0年，足以证明其工作稳定性较强。此次贷款意图为DEBTCONSOLIDATION，从过往信用记录来看，信用等级被评定为C，这清晰地表明其信用表现良好。贷款金额为24250元，贷款利率处于合理范畴，贷款占收入的百分比为8.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有3年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,借款人年龄为26岁，展现出与其年龄相称的成熟与稳重。其年收入达300000元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于MORTGAGE状态，这体现出其生活具备较高的安定性。就业时长约10.0年，足以证明其工作稳定性较强。此次贷款意图为MEDICAL，从过往信用记录来看，信用等级被评定为C，这清晰地表明其信用表现良好。贷款金额为7800元，贷款利率处于合理范畴，贷款占收入的百分比为3.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有4年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,借款人年龄21岁，收入为12000元，这样的收入水平相对有限。住房情况是OWN，稳定性一般。就业时长约5.0年，这反映出其工作稳定性欠佳。贷款意图为EDUCATION，然而其信用等级仅为A，这充分表明信用状况不容乐观。申请贷款金额2500元，贷款利率较高，贷款占收入的百分比达21.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为4年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,借款人年龄22岁，收入为48000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约1.0年，这反映出其工作稳定性欠佳。贷款意图为EDUCATION，然而其信用等级仅为E，这充分表明信用状况不容乐观。申请贷款金额30000元，贷款利率较高，贷款占收入的百分比达63.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为2年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,1
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,借款人年龄24岁，收入为64000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约8.0年，这反映出其工作稳定性欠佳。贷款意图为DEBTCONSOLIDATION，然而其信用等级仅为D，这充分表明信用状况不容乐观。申请贷款金额30000元，贷款利率较高，贷款占收入的百分比达47.00%，还款压力较大。借款人曾有违约记录（Y），且信用历史长度为3年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,1
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,借款人年龄25岁，收入为75000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约4.0年，这反映出其工作稳定性欠佳。贷款意图为HOMEIMPROVEMENT，然而其信用等级仅为D，这充分表明信用状况不容乐观。申请贷款金额30000元，贷款利率较高，贷款占收入的百分比达40.00%，还款压力较大。借款人曾有违约记录（Y），且信用历史长度为4年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,1
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,借款人年龄23岁，收入为71500元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约3.0年，这反映出其工作稳定性欠佳。贷款意图为DEBTCONSOLIDATION，然而其信用等级仅为D，这充分表明信用状况不容乐观。申请贷款金额30000元，贷款利率较高，贷款占收入的百分比达42.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为4年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,借款人年龄26岁，收入为62050元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约6.0年，这反映出其工作稳定性欠佳。贷款意图为MEDICAL，然而其信用等级仅为E，这充分表明信用状况不容乐观。申请贷款金额30000元，贷款利率较高，贷款占收入的百分比达41.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为2年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,借款人年龄24岁，收入为12000元，这样的收入水平相对有限。住房情况是OWN，稳定性一般。就业时长约4.0年，这反映出其工作稳定性欠佳。贷款意图为VENTURE，然而其信用等级仅为B，这充分表明信用状况不容乐观。申请贷款金额2500元，贷款利率较高，贷款占收入的百分比达21.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为3年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,借款人年龄为26岁，展现出与其年龄相称的成熟与稳重。其年收入达300000元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于MORTGAGE状态，这体现出其生活具备较高的安定性。就业时长约10.0年，足以证明其工作稳定性较强。此次贷款意图为VENTURE，从过往信用记录来看，信用等级被评定为A，这清晰地表明其信用表现良好。贷款金额为20000元，贷款利率处于合理范畴，贷款占收入的百分比为7.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有4年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,借款人年龄为23岁，展现出与其年龄相称的成熟与稳重。其年收入达300000元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于OWN状态，这体现出其生活具备较高的安定性。就业时长约1.0年，足以证明其工作稳定性较强。此次贷款意图为EDUCATION，从过往信用记录来看，信用等级被评定为F，这清晰地表明其信用表现良好。贷款金额为24250元，贷款利率处于合理范畴，贷款占收入的百分比为8.00%，还款压力相对较小。借款人无违约记录（Y），且信用历史长度已有2年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,借款人年龄为26岁，展现出与其年龄相称的成熟与稳重。其年收入达300000元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于OWN状态，这体现出其生活具备较高的安定性。就业时长约9.0年，足以证明其工作稳定性较强。此次贷款意图为HOMEIMPROVEMENT，从过往信用记录来看，信用等级被评定为B，这清晰地表明其信用表现良好。贷款金额为10000元，贷款利率处于合理范畴，贷款占收入的百分比为3.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有4年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
